adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
safety,1041,amplified,118.474621,118.474621,bos_boundary,beginning-of-prompt / BOS gating,0.843,adapted,math,0.206399,math,0.202251,300,300,0.081606688,97.95996,0.000696,"<bos> | . | ? | , | \n",46 | 297 | 126 | 42 | 287,code | general | math | code | general,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (20.6%). Top tokens: <bos>, ., ?, ,, \n. Representative prompt ids: [46, 297, 126].",False
safety,6810,suppressed,93.894509,94.294509,general_legal_reasoning,legal / exam-style reasoning,0.749,base,general,0.330428,general,0.331975,298,296,-0.063704108,-78.09122,0.003862,the | a | of | to | space_boundary,41 | 274 | 268 | 256 | 292,code | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (33.0%). Top tokens: the, a, of, to, space_boundary. Representative prompt ids: [41, 274, 268].",False
safety,2291,suppressed,44.669216,44.669216,general_legal_reasoning,legal / exam-style reasoning,0.712,base,math,0.208011,math,0.199833,300,300,-0.049254816,-28.27353,0.006336,"? | . | to | function | ,",297 | 287 | 298 | 148 | 49,general | general | general | math | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (20.8%). Top tokens: ?, ., to, function, ,. Representative prompt ids: [297, 287, 298].",False
safety,5472,suppressed,30.581489,35.725242,generic_instruction,generic instructional framing,0.766,base,creative,0.386323,creative,0.413425,218,186,-0.051890222,-10.844168,0.031315,of | to | in | and | the,218 | 112 | 298 | 278 | 216,creative | math | general | general | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (38.6%). Top tokens: of, to, in, and, the. Representative prompt ids: [218, 112, 298].",False
safety,13295,amplified,34.57991,34.57991,bos_boundary,beginning-of-prompt / BOS gating,0.821,adapted,code,0.31911,code,0.337261,300,300,0.040803344,20.63488,0.006669,<bos> | for | of | i | *,41 | 278 | 46 | 42 | 49,code | general | code | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (31.9%). Top tokens: <bos>, for, of, i, *. Representative prompt ids: [41, 278, 46].",False
safety,8215,amplified,29.436309,34.46636,math_word_problem,arithmetic word-problem setup,0.85,adapted,math,0.66597,math,0.70378,199,224,0.048073428,11.315918,0.006546,. | He | he | is | you,283 | 107 | 126 | 145 | 131,general | math | math | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (66.6%). Top tokens: ., He, he, is, you. Representative prompt ids: [283, 107, 126].",False
safety,11264,amplified,28.989812,34.108511,general_legal_reasoning,legal / exam-style reasoning,0.757,adapted,general,0.357948,general,0.465664,187,300,0.051981098,8.971868,0.025857,<bos> | of | . | that | in,297 | 292 | 295 | 289 | 287,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (35.8%). Top tokens: <bos>, of, ., that, in. Representative prompt ids: [297, 292, 295].",False
safety,11412,suppressed,28.4602,30.913033,code_function_definition,Python function definitions and implementation framing,0.738,base,code,0.294062,code,0.341925,237,225,-0.046165031,-11.087925,0.011509,. | of | the | to | in,46 | 288 | 41 | 278 | 262,code | general | code | general | general,"Primary evidence comes from the base side; activation mass is dominated by code prompts (29.4%). Top tokens: ., of, the, to, in. Representative prompt ids: [46, 288, 41].",True
safety,2594,killed,300.0,29.010639,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,safety,0.166776,none,0.0,300,0,-0.027262814,-9.551693,1.0,<bos>,2 | 10 | 11 | 18 | 20,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [2, 10, 11].",False
safety,7708,amplified,20.227268,25.509355,math_word_problem,arithmetic word-problem setup,0.799,adapted,math,0.497956,math,0.525184,81,106,0.036713922,6.051621,0.06145,1 | the | 0 | of | .,146 | 109 | 138 | 297 | 118,math | math | math | general | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (49.8%). Top tokens: 1, the, 0, of, .. Representative prompt ids: [146, 109, 138].",False
safety,8491,killed,300.0,24.958242,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,creative,0.166735,none,0.0,300,0,-0.027262814,-4.893229,1.0,<bos>,44 | 45 | 47 | 101 | 103,code | code | code | math | math,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [44, 45, 47].",False
safety,9570,suppressed,19.200138,24.400992,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.769,base,code,0.395249,code,0.947799,300,8,-0.027262814,-9.298802,0.043754,<bos> | _,47 | 49 | 41 | 40 | 48,code | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (39.5%). Top tokens: <bos>, _. Representative prompt ids: [47, 49, 41].",True
safety,4952,killed,300.0,24.323625,bos_boundary,beginning-of-prompt / BOS gating,0.839,base,safety,0.177749,none,0.0,300,0,-0.028353326,-3.652786,1.0,<bos> | is | some | are | simple,185 | 175 | 181 | 282 | 101,safety | safety | safety | general | math,"Primary evidence comes from the base side; activation mass is dominated by safety prompts (17.8%). Top tokens: <bos>, is, some, are, simple. Representative prompt ids: [185, 175, 181].",False
safety,2998,killed,300.0,24.211021,bos_boundary,beginning-of-prompt / BOS gating,0.849,base,general,0.169423,none,0.0,300,0,-0.02735369,-3.99168,1.0,<bos> | about,280 | 41 | 42 | 46 | 49,general | code | code | code | code,"Primary evidence comes from the base side; activation mass is dominated by general prompts (16.9%). Top tokens: <bos>, about. Representative prompt ids: [280, 41, 42].",False
