adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
creative,6810,amplified,52.701894,52.901894,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.743,adapted,general,0.311193,general,0.330428,298,299,0.068066158,88.48633,0.009246,the | a | of | to | space_boundary,41 | 274 | 49 | 278 | 268,code | general | code | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (31.1%). Top tokens: the, a, of, to, space_boundary. Representative prompt ids: [41, 274, 49].",True
creative,1041,suppressed,50.81385,50.81385,bos_boundary,beginning-of-prompt / BOS gating,0.843,base,math,0.202251,math,0.202389,300,300,-0.063522356,-86.66748,0.00096,"<bos> | . | ? | , | \n",46 | 297 | 126 | 298 | 287,code | general | math | general | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (20.2%). Top tokens: <bos>, ., ?, ,, \n. Representative prompt ids: [46, 297, 126].",False
creative,14599,amplified,38.456794,38.456794,general_legal_reasoning,legal / exam-style reasoning,0.736,adapted,math,0.2859,math,0.295877,300,300,0.099691021,32.46495,0.005386,<bos> | Write | a | . | of,283 | 132 | 46 | 278 | 297,general | math | code | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (28.6%). Top tokens: <bos>, Write, a, ., of. Representative prompt ids: [283, 132, 46].",False
creative,2620,suppressed,36.698285,36.698285,general_legal_reasoning,legal / exam-style reasoning,0.744,base,math,0.313009,math,0.323146,300,300,-0.008905852,-86.319336,0.001904,? | . | of | the | in,278 | 292 | 287 | 297 | 293,general | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (31.3%). Top tokens: ?, ., of, the, in. Representative prompt ids: [278, 292, 287].",False
creative,5472,suppressed,27.767737,33.00247,generic_instruction,generic instructional framing,0.766,base,creative,0.386323,creative,0.367231,218,161,-0.083060705,-16.331135,0.083648,of | to | in | and | the,218 | 112 | 298 | 278 | 216,creative | math | general | general | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (38.6%). Top tokens: of, to, in, and, the. Representative prompt ids: [218, 112, 298].",False
creative,11306,suppressed,31.820031,32.220031,medical_clinical,medical / clinical wording,0.717,base,creative,0.222329,math,0.232704,298,296,-0.080607052,-28.068527,0.009082,"? | . | a | , | to",216 | 208 | 70 | 133 | 57,creative | creative | medical | math | medical,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (22.2%). Top tokens: ?, ., a, ,, to. Representative prompt ids: [216, 208, 70].",False
creative,15848,amplified,25.192994,30.321579,code_function_definition,Python function definitions and implementation framing,0.802,adapted,math,0.505198,math,0.570499,84,145,0.079062159,12.440189,0.045822,". | the | ' | _ | ,",40 | 44 | 46 | 131 | 103,code | code | code | math | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (50.5%). Top tokens: ., the, ', _, ,. Representative prompt ids: [40, 44, 46].",True
creative,7541,suppressed,22.691672,22.691672,code_function_definition,Python function definitions and implementation framing,0.754,base,math,0.348314,math,0.359694,300,300,-0.041893857,-30.02121,0.002893,of | <bos> | the | from | water,278 | 41 | 46 | 112 | 283,general | code | code | math | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (34.8%). Top tokens: of, <bos>, the, from, water. Representative prompt ids: [278, 41, 46].",True
creative,15939,amplified,17.599806,22.686923,general_legal_reasoning,legal / exam-style reasoning,0.735,adapted,general,0.283768,math,0.256592,192,227,0.054162123,9.377825,0.031045,"the | , | of | a | to",283 | 276 | 297 | 294 | 295,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (28.4%). Top tokens: the, ,, of, a, to. Representative prompt ids: [283, 276, 297].",False
creative,9059,amplified,22.338892,22.338892,code_function_definition,Python function definitions and implementation framing,0.746,adapted,math,0.31901,math,0.30612,300,300,0.065339876,14.089186,0.018845,<bos> | . | 0 | of | 5,41 | 131 | 44 | 288 | 278,code | math | code | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (31.9%). Top tokens: <bos>, ., 0, of, 5. Representative prompt ids: [41, 131, 44].",True
