adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
code,7541,suppressed,60.481494,62.502236,code_function_definition,Python function definitions and implementation framing,0.754,base,math,0.348314,math,0.363247,300,290,-0.140312614,-74.42496,0.007752,of | <bos> | the | from | water,278 | 41 | 46 | 112 | 283,general | code | code | math | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (34.8%). Top tokens: of, <bos>, the, from, water. Representative prompt ids: [278, 41, 46].",True
code,2009,amplified,36.308055,41.351493,general_legal_reasoning,legal / exam-style reasoning,0.767,adapted,general,0.389129,general,0.468481,180,299,0.104598328,33.409225,0.016234,function | indentation | to | ? | a,297 | 298 | 287 | 292 | 293,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (38.9%). Top tokens: function, indentation, to, ?, a. Representative prompt ids: [297, 298, 287].",False
code,1041,suppressed,40.209485,40.209485,bos_boundary,beginning-of-prompt / BOS gating,0.843,base,math,0.202251,math,0.200515,300,300,-0.037713559,-80.22778,0.00063,"<bos> | . | ? | , | \n",46 | 297 | 126 | 298 | 287,code | general | math | general | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (20.2%). Top tokens: <bos>, ., ?, ,, \n. Representative prompt ids: [46, 297, 126].",False
code,11306,suppressed,27.19917,27.19917,medical_clinical,medical / clinical wording,0.717,base,creative,0.222329,math,0.226083,298,298,-0.072700836,-28.157288,0.006191,"? | . | a | , | to",216 | 208 | 70 | 133 | 57,creative | creative | medical | math | medical,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (22.2%). Top tokens: ?, ., a, ,, to. Representative prompt ids: [216, 208, 70].",False
code,10775,amplified,19.169914,25.22215,code_function_definition,Python function definitions and implementation framing,0.714,adapted,math,0.213723,math,0.472413,29,298,0.066793893,11.238392,0.393246,"<bos> | ? | \n | space_boundary | """"""",116 | 42 | 239 | 238 | 43,math | code | creative | creative | code,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (21.4%). Top tokens: <bos>, ?, \n, space_boundary, """""". Representative prompt ids: [116, 42, 239].",True
code,6810,amplified,24.615198,24.615198,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.741,adapted,general,0.303708,general,0.330428,298,298,0.042166485,38.556213,0.008827,the | a | of | to | space_boundary,41 | 274 | 49 | 278 | 268,code | general | code | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (30.4%). Top tokens: the, a, of, to, space_boundary. Representative prompt ids: [41, 274, 49].",True
code,9059,amplified,22.455847,22.455847,code_function_definition,Python function definitions and implementation framing,0.739,adapted,math,0.295718,math,0.30612,300,300,0.073336968,15.879492,0.019389,<bos> | . | 0 | to | of,41 | 131 | 44 | 40 | 126,code | math | code | code | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (29.6%). Top tokens: <bos>, ., 0, to, of. Representative prompt ids: [41, 131, 44].",True
code,10708,suppressed,15.145111,20.163351,code_function_definition,Python function definitions and implementation framing,0.755,base,code,0.349221,code,0.380729,218,188,-0.048982188,-10.974892,0.006817,the | of | a | to | 1,41 | 42 | 49 | 46 | 288,code | code | code | code | general,"Primary evidence comes from the base side; activation mass is dominated by code prompts (34.9%). Top tokens: the, of, a, to, 1. Representative prompt ids: [41, 42, 49].",True
code,13700,amplified,19.47308,19.47308,bos_boundary,beginning-of-prompt / BOS gating,0.844,adapted,general,0.200033,general,0.191968,300,300,0.069338422,10.592651,0.00358,<bos> | of | function | space_boundary | is,293 | 278 | 298 | 297 | 292,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (20.0%). Top tokens: <bos>, of, function, space_boundary, is. Representative prompt ids: [293, 278, 298].",False
code,15311,amplified,13.683276,19.154018,code_function_definition,Python function definitions and implementation framing,0.717,adapted,math,0.22368,math,0.43026,51,300,0.050072701,6.696087,0.175928,<bos> | What | A | Is | You,41 | 283 | 18 | 40 | 126,code | general | code | code | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (22.4%). Top tokens: <bos>, What, A, Is, You. Representative prompt ids: [41, 283, 18].",True
