adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
math,6810,suppressed,90.844557,91.244557,general_legal_reasoning,legal / exam-style reasoning,0.749,base,general,0.330428,general,0.31564,298,296,-0.047528172,-66.77533,0.016032,the | a | of | to | space_boundary,41 | 274 | 268 | 256 | 292,code | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (33.0%). Top tokens: the, a, of, to, space_boundary. Representative prompt ids: [41, 274, 268].",False
math,1041,amplified,66.852345,66.852345,bos_boundary,beginning-of-prompt / BOS gating,0.844,adapted,math,0.204946,math,0.202251,300,300,0.044074882,45.831055,0.00059,"<bos> | . | ? | , | \n",46 | 297 | 41 | 293 | 126,code | general | code | general | math,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (20.5%). Top tokens: <bos>, ., ?, ,, \n. Representative prompt ids: [46, 297, 41].",False
math,5650,suppressed,46.169374,46.169374,code_docstring_example,"Python docstrings, examples, and test-style scaffolding",0.737,base,code,0.288769,code,0.297263,300,300,-0.080061796,-13.606647,0.045957,<bos> | many | the | of | in,41 | 49 | 291 | 278 | 43,code | code | general | general | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (28.9%). Top tokens: <bos>, many, the, of, in. Representative prompt ids: [41, 49, 291].",True
math,14906,amplified,35.028041,38.468909,code_function_definition,Python function definitions and implementation framing,0.754,adapted,math,0.345704,math,0.350646,204,221,0.045710651,15.789127,0.00763,"of | 2 | 0 | 5 | ,",41 | 42 | 252 | 126 | 45,code | code | general | math | code,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (34.6%). Top tokens: of, 2, 0, 5, ,. Representative prompt ids: [41, 42, 252].",True
math,11313,amplified,37.195262,37.195262,bos_boundary,beginning-of-prompt / BOS gating,0.845,adapted,code,0.196992,code,0.188549,300,300,0.058160669,13.26709,0.0102,<bos> | the | of | 1 | to,44 | 297 | 292 | 41 | 47,code | general | general | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (19.7%). Top tokens: <bos>, the, of, 1, to. Representative prompt ids: [44, 297, 292].",False
math,14599,suppressed,28.514003,28.514003,code_function_definition,Python function definitions and implementation framing,0.739,base,math,0.295877,math,0.304431,300,300,-0.038985823,-12.207115,0.00295,<bos> | a | the | . | for,283 | 132 | 297 | 278 | 46,general | math | general | general | code,"Primary evidence comes from the base side; activation mass is dominated by math prompts (29.6%). Top tokens: <bos>, a, the, ., for. Representative prompt ids: [283, 132, 297].",True
math,336,suppressed,26.017757,26.017757,bos_boundary,beginning-of-prompt / BOS gating,0.845,base,code,0.263029,code,0.228353,300,300,-0.036350418,-10.855682,0.078511,<bos> | of | list | find | the,41 | 274 | 49 | 268 | 46,code | general | code | general | code,"Primary evidence comes from the base side; activation mass is dominated by code prompts (26.3%). Top tokens: <bos>, of, list, find, the. Representative prompt ids: [41, 274, 49].",False
math,2075,killed,300.0,25.895498,bos_boundary,beginning-of-prompt / BOS gating,0.85,base,math,0.166912,none,0.0,300,0,-0.027262814,-4.464518,1.0,<bos>,43 | 107 | 138 | 124 | 126,code | math | math | math | math,"Primary evidence comes from the base side; activation mass is dominated by math prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [43, 107, 138].",False
math,8569,newly_activated,300.0,25.29105,bos_boundary,beginning-of-prompt / BOS gating,0.85,adapted,creative,0.166817,none,0.0,0,300,0.027262814,3.905222,1.0,<bos>,127 | 222 | 276 | 295 | 106,math | creative | general | general | math,"Primary evidence comes from the adapted side; activation mass is dominated by creative prompts (16.7%). Top tokens: <bos>. Representative prompt ids: [127, 222, 276].",False
math,8088,killed,300.0,25.25892,bos_boundary,beginning-of-prompt / BOS gating,0.843,base,general,0.187033,none,0.0,300,0,-0.027989822,-3.61112,1.0,<bos> | of,282 | 251 | 258 | 273 | 277,general | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (18.7%). Top tokens: <bos>, of. Representative prompt ids: [282, 251, 258].",False
math,13860,suppressed,25.184593,25.184593,medical_clinical,medical / clinical wording,0.776,base,general,0.419671,general,0.386491,300,300,-0.03171574,-11.770126,0.015418,<bos> | ? | to | . | function,274 | 268 | 291 | 256 | 262,general | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by general prompts (42.0%). Top tokens: <bos>, ?, to, ., function. Representative prompt ids: [274, 268, 291].",False
