adapter,feature_id,classification,classification_score,change_rank_score,label_family,label,confidence,primary_side,primary_domain,primary_domain_share,secondary_domain,secondary_domain_share,base_prompt_count,adapted_prompt_count,delta_token_freq,delta_mean_prompt_activation,context_shift,top_tokens,top_prompt_ids,top_prompt_domains,rationale,matches_code_expectation
medical,10967,amplified,56.635859,59.656856,code_function_definition,Python function definitions and implementation framing,0.778,adapted,math,0.426395,math,0.442425,233,248,0.082878953,31.536858,0.004774,? | of | a | to | .,41 | 297 | 126 | 46 | 287,code | general | math | code | general,"Primary evidence comes from the adapted side; activation mass is dominated by math prompts (42.6%). Top tokens: ?, of, a, to, .. Representative prompt ids: [41, 297, 126].",True
medical,6565,amplified,42.443676,47.696013,medical_clinical,medical / clinical wording,0.786,adapted,general,0.453871,general,0.592617,211,254,0.075427117,18.501406,0.057371,? | . | of | is | a,298 | 252 | 257 | 283 | 254,general | general | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (45.4%). Top tokens: ?, ., of, is, a. Representative prompt ids: [298, 252, 257].",False
medical,11306,suppressed,45.336837,45.536837,medical_clinical,medical / clinical wording,0.717,base,creative,0.222329,math,0.23357,298,297,-0.070610687,-23.600739,0.008567,"? | . | a | , | to",216 | 208 | 70 | 133 | 57,creative | creative | medical | math | medical,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (22.2%). Top tokens: ?, ., a, ,, to. Representative prompt ids: [216, 208, 70].",False
medical,5650,amplified,43.484718,43.484718,code_function_definition,Python function definitions and implementation framing,0.74,adapted,code,0.30034,code,0.288769,300,300,0.081788441,17.216366,0.017927,<bos> | many | the | of | in,41 | 49 | 278 | 46 | 43,code | code | general | code | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (30.0%). Top tokens: <bos>, many, the, of, in. Representative prompt ids: [41, 49, 278].",True
medical,13431,amplified,35.731393,40.931696,creative_writing,creative-writing narrative language,0.786,adapted,general,0.452519,general,0.556041,169,259,0.067611778,13.990116,0.045541,. | the | ? | of | ',256 | 221 | 269 | 260 | 289,general | creative | general | general | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (45.3%). Top tokens: ., the, ?, of, '. Representative prompt ids: [256, 221, 269].",False
medical,11412,amplified,35.776201,40.204269,code_function_definition,Python function definitions and implementation framing,0.737,adapted,code,0.289165,code,0.294062,237,259,0.058160669,17.683193,0.006381,of | the | . | a | to,46 | 41 | 288 | 278 | 42,code | code | general | general | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (28.9%). Top tokens: of, the, ., a, to. Representative prompt ids: [46, 41, 288].",True
medical,2620,suppressed,40.058731,40.058731,general_legal_reasoning,legal / exam-style reasoning,0.744,base,math,0.313009,math,0.315473,300,300,-0.002453653,-43.9552,0.000368,? | . | of | the | in,278 | 292 | 287 | 297 | 293,general | general | general | general | general,"Primary evidence comes from the base side; activation mass is dominated by math prompts (31.3%). Top tokens: ?, ., of, the, in. Representative prompt ids: [278, 292, 287].",False
medical,5472,suppressed,34.510207,39.736379,generic_instruction,generic instructional framing,0.766,base,creative,0.386323,creative,0.423252,218,168,-0.066339513,-13.1117,0.051422,of | to | in | and | the,218 | 112 | 298 | 278 | 216,creative | math | general | general | creative,"Primary evidence comes from the base side; activation mass is dominated by creative prompts (38.6%). Top tokens: of, to, in, and, the. Representative prompt ids: [218, 112, 298].",False
medical,15454,amplified,37.96138,37.96138,code_function_definition,Python function definitions and implementation framing,0.723,adapted,code,0.244429,math,0.174508,300,300,0.065703381,17.225235,0.418596,"<bos> | . | \n | , | ?",42 | 126 | 298 | 283 | 48,code | math | general | general | code,"Primary evidence comes from the adapted side; activation mass is dominated by code prompts (24.4%). Top tokens: <bos>, ., \n, ,, ?. Representative prompt ids: [42, 126, 298].",True
medical,7493,amplified,33.591099,33.591099,generic_instruction,generic instructional framing,0.775,adapted,general,0.417865,general,0.51319,300,300,0.049254816,18.666649,0.043125,<bos> | a | the | is | of,282 | 277 | 253 | 185 | 296,general | general | general | safety | general,"Primary evidence comes from the adapted side; activation mass is dominated by general prompts (41.8%). Top tokens: <bos>, a, the, is, of. Representative prompt ids: [282, 277, 253].",False
